TF	Target	Experimentos_pos	Experimentos_neg
AT5G65210	AT4G01700	0/3	1/3
AT4G27950	AT4G01700	1/4	1/4
AT5G62430	AT4G01700	0/2	1/2
AT5G62020	AT4G01700	0/1	1/1
AT2G22200	AT4G01700	0/1	1/1
AT5G10970	AT4G01700	0/1	1/1
AT3G16870	AT4G01700	0/1	1/1
AT5G04760	AT4G01700	0/1	1/1
AT5G15830	AT4G01700	0/1	1/1
AT5G67420	AT4G01700	0/2	2/2
AT4G01120	AT4G01700	0/1	1/1
AT3G49940	AT4G01700	0/2	2/2
AT5G29000	AT4G01700	1/1	0/1
AT1G66140	AT4G01700	0/1	1/1
AT1G68670	AT4G01700	0/1	1/1
AT4G16141	AT4G01700	0/1	1/1
AT3G17609	AT4G01700	0/1	1/1
AT2G39250	AT4G01700	1/2	1/2
AT1G51140	AT4G01700	1/1	0/1
AT5G49450	AT4G01700	0/1	1/1
AT2G22430	AT4G01700	0/1	1/1
AT4G37790	AT4G01700	1/1	0/1
AT5G10030	AT4G01700	0/2	1/2
AT3G28910	AT4G01700	1/1	0/1
AT5G67300	AT4G01700	0/1	1/1
AT2G33550	AT4G01700	0/1	1/1
AT1G25550	AT4G01700	0/1	1/1
AT1G72830	AT4G01700	0/1	1/1
AT5G57660	AT4G01700	0/1	1/1
AT4G23750	AT4G01700	1/1	0/1
AT1G09540	AT4G01700	1/1	0/1
AT1G22640	AT4G01700	0/1	1/1
AT4G37180	AT4G01700	1/1	0/1
AT2G40750	AT4G01700	1/1	0/1
AT1G35560	AT4G01700	1/1	0/1
AT2G38470	AT4G01700	1/1	0/1
AT1G69490	AT4G01700	1/1	0/1
AT4G36540	AT4G01700	0/1	1/1
AT2G42280	AT4G01700	1/1	0/1
AT4G31800	AT4G01700	1/1	0/1
AT3G18990	AT4G01700	1/1	0/1
AT5G65210	AT4G27410	0/3	2/3
AT4G27950	AT4G27410	0/4	2/4
AT5G62430	AT4G27410	0/2	2/2
AT5G62020	AT4G27410	0/1	1/1
AT5G10970	AT4G27410	0/1	1/1
AT3G16870	AT4G27410	0/1	1/1
AT5G04760	AT4G27410	1/1	0/1
AT5G15830	AT4G27410	0/1	1/1
AT5G67420	AT4G27410	2/2	0/2
AT4G01120	AT4G27410	1/1	0/1
AT1G13260	AT4G27410	1/1	0/1
AT5G58900	AT4G27410	1/1	0/1
AT3G49940	AT4G27410	1/2	1/2
AT5G29000	AT4G27410	0/1	1/1
AT1G66140	AT4G27410	0/1	1/1
AT1G68670	AT4G27410	0/1	1/1
AT4G16141	AT4G27410	0/1	1/1
AT3G17609	AT4G27410	0/1	1/1
AT2G39250	AT4G27410	0/2	1/2
AT4G39780	AT4G27410	1/2	0/2
AT5G49450	AT4G27410	0/1	1/1
AT2G22430	AT4G27410	0/1	1/1
AT5G10030	AT4G27410	0/2	1/2
AT3G28910	AT4G27410	0/1	1/1
AT5G67300	AT4G27410	1/1	0/1
AT2G33550	AT4G27410	0/1	1/1
AT1G25550	AT4G27410	0/1	1/1
AT1G72830	AT4G27410	1/1	0/1
AT4G23750	AT4G27410	0/1	1/1
AT1G09540	AT4G27410	0/1	1/1
AT1G22640	AT4G27410	1/1	0/1
AT4G37180	AT4G27410	0/1	1/1
AT1G35560	AT4G27410	0/1	1/1
AT1G69490	AT4G27410	0/1	1/1
AT5G47230	AT4G27410	1/1	0/1
AT4G36540	AT4G27410	0/1	1/1
AT4G34000	AT4G27410	1/1	0/1
AT2G42280	AT4G27410	0/1	1/1
AT1G49720	AT4G27410	1/1	0/1
AT5G65210	AT5G05340	1/3	1/3
AT5G62430	AT5G05340	1/2	0/2
AT5G62020	AT5G05340	0/1	1/1
AT2G22200	AT5G05340	0/1	1/1
AT5G10970	AT5G05340	0/1	1/1
AT5G04760	AT5G05340	0/1	1/1
AT5G15830	AT5G05340	0/1	1/1
AT5G67420	AT5G05340	0/2	2/2
AT4G01120	AT5G05340	0/1	1/1
AT1G13260	AT5G05340	0/1	1/1
AT5G58900	AT5G05340	1/1	0/1
AT3G49940	AT5G05340	1/2	1/2
AT5G29000	AT5G05340	1/1	0/1
AT1G66140	AT5G05340	0/1	1/1
AT1G68670	AT5G05340	0/1	1/1
AT5G04340	AT5G05340	0/1	1/1
AT4G39780	AT5G05340	1/2	0/2
AT1G51140	AT5G05340	0/1	1/1
AT5G49450	AT5G05340	0/1	1/1
AT2G22430	AT5G05340	0/1	1/1
AT4G37790	AT5G05340	1/1	0/1
AT5G10030	AT5G05340	1/2	0/2
AT3G28910	AT5G05340	1/1	0/1
AT5G67300	AT5G05340	0/1	1/1
AT1G25550	AT5G05340	0/1	1/1
AT1G72830	AT5G05340	0/1	1/1
AT5G57660	AT5G05340	0/1	1/1
AT1G09540	AT5G05340	1/1	0/1
AT1G22640	AT5G05340	0/1	1/1
AT4G37180	AT5G05340	1/1	0/1
AT2G40750	AT5G05340	1/1	0/1
AT2G38470	AT5G05340	1/1	0/1
AT5G05410	AT5G05340	0/1	1/1
AT4G24020	AT5G05340	0/1	1/1
AT4G36540	AT5G05340	0/1	1/1
AT2G42280	AT5G05340	1/1	0/1
AT4G31800	AT5G05340	1/1	0/1
AT2G46270	AT5G05340	0/1	1/1
AT3G18990	AT5G05340	0/1	1/1
AT1G49720	AT5G05340	0/1	1/1
AT5G65210	AT1G02360	1/3	2/3
AT5G62020	AT1G02360	0/1	1/1
AT2G22200	AT1G02360	0/1	1/1
AT5G10970	AT1G02360	0/1	1/1
AT3G16870	AT1G02360	0/1	1/1
AT5G04760	AT1G02360	0/1	1/1
AT5G15830	AT1G02360	0/1	1/1
AT5G67420	AT1G02360	0/2	2/2
AT4G01120	AT1G02360	0/1	1/1
AT5G58900	AT1G02360	1/1	0/1
AT3G49940	AT1G02360	0/2	2/2
AT5G29000	AT1G02360	1/1	0/1
AT1G66140	AT1G02360	0/1	1/1
AT1G68670	AT1G02360	0/1	1/1
AT4G16141	AT1G02360	0/1	1/1
AT3G17609	AT1G02360	0/1	1/1
AT2G39250	AT1G02360	1/2	1/2
AT4G39780	AT1G02360	0/2	1/2
AT5G49450	AT1G02360	0/1	1/1
AT2G22430	AT1G02360	0/1	1/1
AT4G37790	AT1G02360	1/1	0/1
AT3G28910	AT1G02360	1/1	0/1
AT5G67300	AT1G02360	0/1	1/1
AT1G25550	AT1G02360	0/1	1/1
AT1G72830	AT1G02360	0/1	1/1
AT5G57660	AT1G02360	0/1	1/1
AT1G09540	AT1G02360	1/1	0/1
AT1G22640	AT1G02360	0/1	1/1
AT4G37180	AT1G02360	1/1	0/1
AT2G46680	AT1G02360	0/1	1/1
AT2G40750	AT1G02360	1/1	0/1
AT1G35560	AT1G02360	1/1	0/1
AT5G47230	AT1G02360	1/1	0/1
AT5G05410	AT1G02360	0/1	1/1
AT4G36540	AT1G02360	0/1	1/1
AT2G42280	AT1G02360	1/1	0/1
AT4G31800	AT1G02360	1/1	0/1
AT2G46270	AT1G02360	0/1	1/1
AT5G65210	AT1G02930	0/3	2/3
AT4G27950	AT1G02930	2/4	0/4
AT5G62020	AT1G02930	0/1	1/1
AT2G22200	AT1G02930	0/1	1/1
AT5G10970	AT1G02930	0/1	1/1
AT3G16870	AT1G02930	0/1	1/1
AT5G04760	AT1G02930	0/1	1/1
AT5G15830	AT1G02930	0/1	1/1
AT5G67420	AT1G02930	0/2	2/2
AT4G01120	AT1G02930	0/1	1/1
AT1G13260	AT1G02930	1/1	0/1
AT3G49940	AT1G02930	0/2	1/2
AT5G29000	AT1G02930	0/1	1/1
AT1G66140	AT1G02930	0/1	1/1
AT1G68670	AT1G02930	0/1	1/1
AT5G04340	AT1G02930	0/1	1/1
AT4G16141	AT1G02930	0/1	1/1
AT3G17609	AT1G02930	0/1	1/1
AT2G39250	AT1G02930	1/2	1/2
AT5G49450	AT1G02930	0/1	1/1
AT2G22430	AT1G02930	0/1	1/1
AT4G37790	AT1G02930	1/1	0/1
AT5G10030	AT1G02930	0/2	1/2
AT3G28910	AT1G02930	1/1	0/1
AT5G07680	AT1G02930	1/1	0/1
AT5G67300	AT1G02930	0/1	1/1
AT1G25550	AT1G02930	0/1	1/1
AT1G72830	AT1G02930	0/1	1/1
AT5G57660	AT1G02930	0/1	1/1
AT1G09540	AT1G02930	1/1	0/1
AT1G22640	AT1G02930	0/1	1/1
AT2G40750	AT1G02930	1/1	0/1
AT1G35560	AT1G02930	1/1	0/1
AT2G38470	AT1G02930	1/1	0/1
AT5G47230	AT1G02930	1/1	0/1
AT4G36540	AT1G02930	0/1	1/1
AT2G42280	AT1G02930	1/1	0/1
AT2G46270	AT1G02930	0/1	1/1
AT5G65210	AT1G05010	0/3	2/3
AT5G62430	AT1G05010	0/2	1/2
AT2G22200	AT1G05010	0/1	1/1
AT5G10970	AT1G05010	0/1	1/1
AT3G16870	AT1G05010	0/1	1/1
AT5G04760	AT1G05010	0/1	1/1
AT5G15830	AT1G05010	0/1	1/1
AT5G67420	AT1G05010	0/2	2/2
AT4G01120	AT1G05010	0/1	1/1
AT1G13260	AT1G05010	0/1	1/1
AT5G58900	AT1G05010	0/1	1/1
AT3G49940	AT1G05010	0/2	2/2
AT5G29000	AT1G05010	0/1	1/1
AT1G66140	AT1G05010	0/1	1/1
AT5G04340	AT1G05010	0/1	1/1
AT4G16141	AT1G05010	0/1	1/1
AT3G17609	AT1G05010	0/1	1/1
AT2G39250	AT1G05010	1/2	1/2
AT1G51140	AT1G05010	1/1	0/1
AT5G49450	AT1G05010	0/1	1/1
AT2G22430	AT1G05010	0/1	1/1
AT1G49560	AT1G05010	0/1	1/1
AT5G10030	AT1G05010	0/2	2/2
AT5G07680	AT1G05010	1/1	0/1
AT1G25550	AT1G05010	0/1	1/1
AT1G72830	AT1G05010	0/1	1/1
AT5G57660	AT1G05010	0/1	1/1
AT4G37180	AT1G05010	0/1	1/1
AT2G40750	AT1G05010	1/1	0/1
AT1G35560	AT1G05010	1/1	0/1
AT2G38470	AT1G05010	1/1	0/1
AT1G69490	AT1G05010	1/1	0/1
AT4G36540	AT1G05010	0/1	1/1
AT4G34000	AT1G05010	0/1	1/1
AT2G42280	AT1G05010	1/1	0/1
AT3G18990	AT1G05010	1/1	0/1
AT5G61850	AT1G05010	1/1	0/1
AT5G65210	AT1G59740	1/3	2/3
AT5G62430	AT1G59740	0/2	1/2
AT5G62020	AT1G59740	0/1	1/1
AT2G22200	AT1G59740	0/1	1/1
AT5G10970	AT1G59740	0/1	1/1
AT3G16870	AT1G59740	0/1	1/1
AT5G04760	AT1G59740	1/1	0/1
AT5G15830	AT1G59740	0/1	1/1
AT5G67420	AT1G59740	0/2	2/2
AT4G01120	AT1G59740	0/1	1/1
AT1G13260	AT1G59740	0/1	1/1
AT5G58900	AT1G59740	1/1	0/1
AT3G49940	AT1G59740	0/2	2/2
AT1G66140	AT1G59740	0/1	1/1
AT1G68670	AT1G59740	0/1	1/1
AT5G04340	AT1G59740	0/1	1/1
AT4G16141	AT1G59740	0/1	1/1
AT2G39250	AT1G59740	0/2	2/2
AT4G39780	AT1G59740	0/2	1/2
AT5G49450	AT1G59740	0/1	1/1
AT2G22430	AT1G59740	0/1	1/1
AT1G49560	AT1G59740	0/1	1/1
AT3G28910	AT1G59740	0/1	1/1
AT5G67300	AT1G59740	0/1	1/1
AT2G33550	AT1G59740	0/1	1/1
AT1G25550	AT1G59740	0/1	1/1
AT5G57660	AT1G59740	0/1	1/1
AT4G23750	AT1G59740	0/1	1/1
AT1G09540	AT1G59740	0/1	1/1
AT1G22640	AT1G59740	0/1	1/1
AT2G46680	AT1G59740	1/1	0/1
AT1G35560	AT1G59740	0/1	1/1
AT2G38470	AT1G59740	1/1	0/1
AT1G69490	AT1G59740	1/1	0/1
AT5G47230	AT1G59740	1/1	0/1
AT4G36540	AT1G59740	0/1	1/1
AT4G34000	AT1G59740	1/1	0/1
AT2G42280	AT1G59740	0/1	1/1
AT5G65210	AT2G44790	0/3	3/3
AT4G27950	AT2G44790	3/4	0/4
AT5G62430	AT2G44790	1/2	0/2
AT5G62020	AT2G44790	0/1	1/1
AT2G22200	AT2G44790	0/1	1/1
AT5G10970	AT2G44790	0/1	1/1
AT5G04760	AT2G44790	1/1	0/1
AT5G67420	AT2G44790	0/2	2/2
AT4G01120	AT2G44790	0/1	1/1
AT5G58900	AT2G44790	1/1	0/1
AT3G49940	AT2G44790	0/2	1/2
AT1G66140	AT2G44790	0/1	1/1
AT4G16141	AT2G44790	0/1	1/1
AT3G17609	AT2G44790	0/1	1/1
AT2G39250	AT2G44790	0/2	2/2
AT4G39780	AT2G44790	0/2	1/2
AT1G51140	AT2G44790	0/1	1/1
AT5G49450	AT2G44790	0/1	1/1
AT2G22430	AT2G44790	0/1	1/1
AT4G37790	AT2G44790	1/1	0/1
AT1G49560	AT2G44790	0/1	1/1
AT5G10030	AT2G44790	0/2	1/2
AT5G67300	AT2G44790	0/1	1/1
AT1G72830	AT2G44790	0/1	1/1
AT5G57660	AT2G44790	0/1	1/1
AT1G09540	AT2G44790	1/1	0/1
AT1G22640	AT2G44790	0/1	1/1
AT2G46680	AT2G44790	0/1	1/1
AT2G40750	AT2G44790	1/1	0/1
AT2G38470	AT2G44790	1/1	0/1
AT1G69490	AT2G44790	1/1	0/1
AT5G47230	AT2G44790	1/1	0/1
AT4G34000	AT2G44790	0/1	1/1
AT4G31800	AT2G44790	0/1	1/1
AT2G46270	AT2G44790	0/1	1/1
AT3G18990	AT2G44790	1/1	0/1
AT5G65210	AT3G14990	0/3	2/3
AT4G27950	AT3G14990	0/4	1/4
AT5G62430	AT3G14990	0/2	1/2
AT5G62020	AT3G14990	0/1	1/1
AT2G22200	AT3G14990	0/1	1/1
AT5G10970	AT3G14990	0/1	1/1
AT3G16870	AT3G14990	0/1	1/1
AT5G04760	AT3G14990	1/1	0/1
AT5G67420	AT3G14990	1/2	0/2
AT4G01120	AT3G14990	1/1	0/1
AT1G13260	AT3G14990	1/1	0/1
AT5G58900	AT3G14990	1/1	0/1
AT3G49940	AT3G14990	0/2	1/2
AT5G29000	AT3G14990	0/1	1/1
AT1G66140	AT3G14990	0/1	1/1
AT1G68670	AT3G14990	0/1	1/1
AT4G16141	AT3G14990	0/1	1/1
AT3G17609	AT3G14990	0/1	1/1
AT2G39250	AT3G14990	1/2	1/2
AT4G39780	AT3G14990	0/2	1/2
AT1G51140	AT3G14990	1/1	0/1
AT5G49450	AT3G14990	0/1	1/1
AT2G22430	AT3G14990	0/1	1/1
AT4G37790	AT3G14990	1/1	0/1
AT5G10030	AT3G14990	1/2	1/2
AT3G28910	AT3G14990	0/1	1/1
AT2G33550	AT3G14990	0/1	1/1
AT1G25550	AT3G14990	0/1	1/1
AT1G72830	AT3G14990	1/1	0/1
AT5G57660	AT3G14990	0/1	1/1
AT1G09540	AT3G14990	1/1	0/1
AT2G40750	AT3G14990	1/1	0/1
AT1G35560	AT3G14990	1/1	0/1
AT1G69490	AT3G14990	0/1	1/1
AT5G47230	AT3G14990	1/1	0/1
AT5G05410	AT3G14990	1/1	0/1
AT4G36540	AT3G14990	0/1	1/1
AT4G34000	AT3G14990	1/1	0/1
AT2G42280	AT3G14990	1/1	0/1
AT1G49720	AT3G14990	1/1	0/1
AT5G65210	AT1G02400	1/3	1/3
AT4G27950	AT1G02400	0/4	1/4
AT5G62430	AT1G02400	0/2	2/2
AT5G62020	AT1G02400	0/1	1/1
AT2G22200	AT1G02400	0/1	1/1
AT5G10970	AT1G02400	0/1	1/1
AT3G16870	AT1G02400	0/1	1/1
AT5G04760	AT1G02400	0/1	1/1
AT5G15830	AT1G02400	0/1	1/1
AT5G67420	AT1G02400	0/2	2/2
AT1G13260	AT1G02400	0/1	1/1
AT5G58900	AT1G02400	0/1	1/1
AT3G49940	AT1G02400	0/2	2/2
AT5G29000	AT1G02400	0/1	1/1
AT1G66140	AT1G02400	0/1	1/1
AT1G68670	AT1G02400	0/1	1/1
AT4G16141	AT1G02400	0/1	1/1
AT3G17609	AT1G02400	0/1	1/1
AT4G39780	AT1G02400	0/2	1/2
AT5G49450	AT1G02400	0/1	1/1
AT4G37790	AT1G02400	0/1	1/1
AT1G49560	AT1G02400	0/1	1/1
AT5G10030	AT1G02400	0/2	1/2
AT3G28910	AT1G02400	1/1	0/1
AT5G67300	AT1G02400	0/1	1/1
AT2G33550	AT1G02400	0/1	1/1
AT1G25550	AT1G02400	0/1	1/1
AT1G72830	AT1G02400	0/1	1/1
AT5G57660	AT1G02400	0/1	1/1
AT1G09540	AT1G02400	1/1	0/1
AT1G22640	AT1G02400	0/1	1/1
AT2G46680	AT1G02400	1/1	0/1
AT1G35560	AT1G02400	0/1	1/1
AT1G69490	AT1G02400	1/1	0/1
AT5G47230	AT1G02400	0/1	1/1
AT4G34000	AT1G02400	1/1	0/1
AT4G31800	AT1G02400	0/1	1/1
AT5G46590	AT1G02400	0/1	1/1
AT5G65210	AT1G65500	1/3	2/3
AT5G62430	AT1G65500	1/2	0/2
AT5G62020	AT1G65500	0/1	1/1
AT2G22200	AT1G65500	0/1	1/1
AT5G10970	AT1G65500	0/1	1/1
AT3G16870	AT1G65500	0/1	1/1
AT5G04760	AT1G65500	0/1	1/1
AT5G15830	AT1G65500	0/1	1/1
AT5G67420	AT1G65500	0/2	2/2
AT4G01120	AT1G65500	0/1	1/1
AT1G13260	AT1G65500	0/1	1/1
AT5G58900	AT1G65500	1/1	0/1
AT3G49940	AT1G65500	0/2	2/2
AT1G66140	AT1G65500	0/1	1/1
AT1G68670	AT1G65500	0/1	1/1
AT5G04340	AT1G65500	0/1	1/1
AT4G16141	AT1G65500	0/1	1/1
AT3G17609	AT1G65500	0/1	1/1
AT2G39250	AT1G65500	1/2	1/2
AT5G49450	AT1G65500	0/1	1/1
AT2G22430	AT1G65500	0/1	1/1
AT4G37790	AT1G65500	1/1	0/1
AT5G10030	AT1G65500	0/2	1/2
AT5G07680	AT1G65500	0/1	1/1
AT5G67300	AT1G65500	0/1	1/1
AT1G25550	AT1G65500	0/1	1/1
AT1G72830	AT1G65500	0/1	1/1
AT2G40750	AT1G65500	1/1	0/1
AT1G35560	AT1G65500	1/1	0/1
AT2G38470	AT1G65500	1/1	0/1
AT4G24020	AT1G65500	0/1	1/1
AT4G36540	AT1G65500	0/1	1/1
AT2G42280	AT1G65500	1/1	0/1
AT4G31800	AT1G65500	0/1	1/1
AT2G46270	AT1G65500	0/1	1/1
AT3G18990	AT1G65500	1/1	0/1
AT5G65210	AT1G66880	0/3	2/3
AT5G62020	AT1G66880	0/1	1/1
AT2G22200	AT1G66880	0/1	1/1
AT5G10970	AT1G66880	0/1	1/1
AT5G04760	AT1G66880	0/1	1/1
AT5G15830	AT1G66880	0/1	1/1
AT5G67420	AT1G66880	0/2	2/2
AT4G01120	AT1G66880	0/1	1/1
AT3G49940	AT1G66880	0/2	1/2
AT5G29000	AT1G66880	0/1	1/1
AT1G66140	AT1G66880	0/1	1/1
AT1G68670	AT1G66880	0/1	1/1
AT5G04340	AT1G66880	1/1	0/1
AT4G16141	AT1G66880	0/1	1/1
AT3G17609	AT1G66880	0/1	1/1
AT2G39250	AT1G66880	0/2	2/2
AT1G51140	AT1G66880	0/1	1/1
AT2G22430	AT1G66880	0/1	1/1
AT4G37790	AT1G66880	1/1	0/1
AT5G10030	AT1G66880	0/2	2/2
AT3G28910	AT1G66880	1/1	0/1
AT5G67300	AT1G66880	0/1	1/1
AT2G33550	AT1G66880	0/1	1/1
AT1G25550	AT1G66880	0/1	1/1
AT1G72830	AT1G66880	0/1	1/1
AT5G57660	AT1G66880	0/1	1/1
AT1G09540	AT1G66880	1/1	0/1
AT1G22640	AT1G66880	0/1	1/1
AT4G37180	AT1G66880	1/1	0/1
AT2G46680	AT1G66880	0/1	1/1
AT2G40750	AT1G66880	1/1	0/1
AT2G38470	AT1G66880	1/1	0/1
AT4G24020	AT1G66880	0/1	1/1
AT4G34000	AT1G66880	0/1	1/1
AT4G31800	AT1G66880	0/1	1/1
AT2G46270	AT1G66880	0/1	1/1
AT5G43840	AT1G66880	1/1	0/1
AT5G65210	AT5G26340	2/3	0/3
AT4G27950	AT5G26340	0/4	1/4
AT5G62020	AT5G26340	0/1	1/1
AT2G22200	AT5G26340	0/1	1/1
AT5G10970	AT5G26340	0/1	1/1
AT3G16870	AT5G26340	0/1	1/1
AT5G04760	AT5G26340	0/1	1/1
AT5G15830	AT5G26340	1/1	0/1
AT4G01120	AT5G26340	0/1	1/1
AT1G13260	AT5G26340	0/1	1/1
AT5G58900	AT5G26340	1/1	0/1
AT3G49940	AT5G26340	0/2	1/2
AT5G29000	AT5G26340	1/1	0/1
AT1G66140	AT5G26340	0/1	1/1
AT1G68670	AT5G26340	0/1	1/1
AT5G04340	AT5G26340	0/1	1/1
AT3G17609	AT5G26340	0/1	1/1
AT2G39250	AT5G26340	1/2	1/2
AT4G39780	AT5G26340	0/2	1/2
AT1G51140	AT5G26340	1/1	0/1
AT2G22430	AT5G26340	0/1	1/1
AT4G37790	AT5G26340	1/1	0/1
AT1G49560	AT5G26340	0/1	1/1
AT3G28910	AT5G26340	0/1	1/1
AT5G67300	AT5G26340	0/1	1/1
AT2G33550	AT5G26340	0/1	1/1
AT1G72830	AT5G26340	0/1	1/1
AT5G57660	AT5G26340	0/1	1/1
AT1G22640	AT5G26340	0/1	1/1
AT2G46680	AT5G26340	0/1	1/1
AT2G40750	AT5G26340	1/1	0/1
AT1G35560	AT5G26340	0/1	1/1
AT2G38470	AT5G26340	1/1	0/1
AT1G69490	AT5G26340	1/1	0/1
AT5G47230	AT5G26340	1/1	0/1
AT5G05410	AT5G26340	0/1	1/1
AT4G36540	AT5G26340	0/1	1/1
AT2G42280	AT5G26340	1/1	0/1
AT2G46270	AT5G26340	0/1	1/1
AT5G65210	AT1G22410	0/3	2/3
AT4G27950	AT1G22410	0/4	2/4
AT5G62430	AT1G22410	1/2	1/2
AT5G62020	AT1G22410	0/1	1/1
AT2G22200	AT1G22410	0/1	1/1
AT5G10970	AT1G22410	0/1	1/1
AT3G16870	AT1G22410	0/1	1/1
AT5G04760	AT1G22410	0/1	1/1
AT5G15830	AT1G22410	0/1	1/1
AT5G67420	AT1G22410	0/2	2/2
AT4G01120	AT1G22410	0/1	1/1
AT1G13260	AT1G22410	0/1	1/1
AT3G49940	AT1G22410	0/2	1/2
AT1G66140	AT1G22410	0/1	1/1
AT1G68670	AT1G22410	0/1	1/1
AT5G04340	AT1G22410	1/1	0/1
AT4G16141	AT1G22410	0/1	1/1
AT3G17609	AT1G22410	0/1	1/1
AT2G39250	AT1G22410	0/2	1/2
AT1G51140	AT1G22410	0/1	1/1
AT5G49450	AT1G22410	0/1	1/1
AT2G22430	AT1G22410	0/1	1/1
AT4G37790	AT1G22410	1/1	0/1
AT1G49560	AT1G22410	0/1	1/1
AT5G10030	AT1G22410	0/2	1/2
AT3G28910	AT1G22410	1/1	0/1
AT2G33550	AT1G22410	0/1	1/1
AT1G25550	AT1G22410	0/1	1/1
AT1G72830	AT1G22410	0/1	1/1
AT5G57660	AT1G22410	0/1	1/1
AT1G09540	AT1G22410	1/1	0/1
AT1G22640	AT1G22410	0/1	1/1
AT2G46680	AT1G22410	0/1	1/1
AT2G40750	AT1G22410	0/1	1/1
AT1G35560	AT1G22410	1/1	0/1
AT2G38470	AT1G22410	0/1	1/1
AT4G36540	AT1G22410	0/1	1/1
AT5G65210	AT1G23080	1/3	1/3
AT5G62430	AT1G23080	0/2	2/2
AT5G62020	AT1G23080	0/1	1/1
AT2G22200	AT1G23080	0/1	1/1
AT5G10970	AT1G23080	0/1	1/1
AT3G16870	AT1G23080	0/1	1/1
AT5G04760	AT1G23080	0/1	1/1
AT5G15830	AT1G23080	0/1	1/1
AT5G67420	AT1G23080	0/2	1/2
AT4G01120	AT1G23080	0/1	1/1
AT1G13260	AT1G23080	0/1	1/1
AT5G58900	AT1G23080	0/1	1/1
AT3G49940	AT1G23080	0/2	2/2
AT1G66140	AT1G23080	0/1	1/1
AT1G68670	AT1G23080	0/1	1/1
AT5G04340	AT1G23080	0/1	1/1
AT4G16141	AT1G23080	0/1	1/1
AT3G17609	AT1G23080	0/1	1/1
AT2G39250	AT1G23080	0/2	1/2
AT4G39780	AT1G23080	0/2	1/2
AT1G51140	AT1G23080	0/1	1/1
AT5G49450	AT1G23080	0/1	1/1
AT2G22430	AT1G23080	0/1	1/1
AT4G37790	AT1G23080	0/1	1/1
AT5G10030	AT1G23080	1/2	0/2
AT5G07680	AT1G23080	0/1	1/1
AT5G67300	AT1G23080	0/1	1/1
AT2G33550	AT1G23080	0/1	1/1
AT1G25550	AT1G23080	0/1	1/1
AT5G57660	AT1G23080	0/1	1/1
AT1G22640	AT1G23080	0/1	1/1
AT1G69490	AT1G23080	0/1	1/1
AT5G47230	AT1G23080	0/1	1/1
AT4G24020	AT1G23080	1/1	0/1
AT4G36540	AT1G23080	0/1	1/1
AT2G46270	AT1G23080	0/1	1/1
AT3G18990	AT1G23080	0/1	1/1
AT1G49720	AT1G23080	0/1	1/1
AT5G65210	AT2G24570	2/3	1/3
AT4G27950	AT2G24570	0/4	1/4
AT5G62430	AT2G24570	1/2	0/2
AT5G62020	AT2G24570	0/1	1/1
AT2G22200	AT2G24570	0/1	1/1
AT5G10970	AT2G24570	0/1	1/1
AT3G16870	AT2G24570	0/1	1/1
AT5G04760	AT2G24570	0/1	1/1
AT5G15830	AT2G24570	0/1	1/1
AT5G67420	AT2G24570	0/2	2/2
AT4G01120	AT2G24570	0/1	1/1
AT5G58900	AT2G24570	1/1	0/1
AT3G49940	AT2G24570	0/2	1/2
AT1G66140	AT2G24570	0/1	1/1
AT1G68670	AT2G24570	0/1	1/1
AT5G04340	AT2G24570	0/1	1/1
AT4G16141	AT2G24570	0/1	1/1
AT3G17609	AT2G24570	0/1	1/1
AT2G39250	AT2G24570	1/2	1/2
AT2G22430	AT2G24570	0/1	1/1
AT4G37790	AT2G24570	1/1	0/1
AT1G49560	AT2G24570	1/1	0/1
AT5G67300	AT2G24570	0/1	1/1
AT2G33550	AT2G24570	0/1	1/1
AT1G25550	AT2G24570	0/1	1/1
AT1G72830	AT2G24570	0/1	1/1
AT5G57660	AT2G24570	0/1	1/1
AT1G09540	AT2G24570	1/1	0/1
AT1G22640	AT2G24570	0/1	1/1
AT4G37180	AT2G24570	1/1	0/1
AT2G46680	AT2G24570	0/1	1/1
AT2G40750	AT2G24570	1/1	0/1
AT2G38470	AT2G24570	1/1	0/1
AT5G47230	AT2G24570	1/1	0/1
AT4G31800	AT2G24570	0/1	1/1
AT2G46270	AT2G24570	0/1	1/1
AT3G18990	AT2G24570	1/1	0/1
AT5G65210	AT3G26830	0/3	3/3
AT4G27950	AT3G26830	1/4	0/4
AT5G62430	AT3G26830	0/2	1/2
AT5G62020	AT3G26830	0/1	1/1
AT2G22200	AT3G26830	0/1	1/1
AT5G10970	AT3G26830	0/1	1/1
AT3G16870	AT3G26830	0/1	1/1
AT5G04760	AT3G26830	0/1	1/1
AT5G15830	AT3G26830	0/1	1/1
AT5G67420	AT3G26830	0/2	2/2
AT5G58900	AT3G26830	1/1	0/1
AT3G49940	AT3G26830	0/2	1/2
AT5G29000	AT3G26830	0/1	1/1
AT1G66140	AT3G26830	0/1	1/1
AT5G04340	AT3G26830	0/1	1/1
AT4G16141	AT3G26830	0/1	1/1
AT3G17609	AT3G26830	0/1	1/1
AT2G39250	AT3G26830	0/2	1/2
AT1G51140	AT3G26830	1/1	0/1
AT5G49450	AT3G26830	0/1	1/1
AT2G22430	AT3G26830	0/1	1/1
AT4G37790	AT3G26830	1/1	0/1
AT1G49560	AT3G26830	0/1	1/1
AT5G10030	AT3G26830	1/2	0/2
AT3G28910	AT3G26830	0/1	1/1
AT5G07680	AT3G26830	1/1	0/1
